longitude,latitude,trace_type
-10033753.25734141,4671645.365943966,racing_line
-10033753.462646931,4671645.508383452,racing_line
-10033753.669379678,4671645.650165186,racing_line
-10033753.877447298,4671645.791337694,racing_line
-10033754.086777393,4671645.931820955,racing_line
-10033754.297324058,4671646.071407894,racing_line
-10033754.602842683,4671646.063215301,racing_line
-10033754.832123771,4671646.169429756,racing_line
-10033755.062956141,4671646.272050682,racing_line
-10033755.293383466,4671646.37426964,racing_line
-10033755.520932887,4671646.479298594,racing_line
-10033755.743735168,4671646.590356028,racing_line
-10033755.961758517,4671646.710438813,racing_line
-10033756.174277369,4671646.8400349105,racing_line
-10033756.381716097,4671646.977749396,racing_line
-10033756.585939363,4671647.120658927,racing_line
-10033756.789482936,4671647.264641391,racing_line
-10033756.994998492,4671647.405116184,racing_line
-10033757.146623265,4671647.661581021,racing_line
-10033757.372170106,4671647.765731882,racing_line
