t,seconds_elapsed,E,N,lat,lon,speed,heading_deg,yaw_rate
1782421472390309000,52.39,28.081419430110202,-22.468925875819902,38.648474682464695,-90.13516062613547,11.005170607333044,23.840320170955902,0.7701560252010411
1782421472400309000,52.4,28.279003484092147,-22.38159577541711,38.648475467843156,-90.13515835092616,11.032306154970149,23.84938240040595,0.7021678519249711
1782421472410309000,52.410000000000004,28.47661931630864,-22.29421492631425,38.64847625367801,-90.13515607535092,11.059441702607273,23.858123971268142,0.5345552155015588
1782421472420309000,52.42,28.674263277219165,-22.206786247056407,38.64847703994302,-90.13515379945177,11.086577250244378,23.866545641971328,0.40925942189085535
1782421472430309000,52.43,28.871931717283633,-22.11931265618848,38.648477826611916,-90.13515152327075,11.113712797881481,23.87464813028083,0.2814302992201481
1782421472440309000,52.44,29.06962098696181,-22.031797072255433,38.648478613658476,-90.13514924684986,11.140848345518586,23.882432113479783,0.22151519953671253
1782421472450309000,52.45,29.267327436713586,-21.94424241380218,38.648479401056434,-90.13514697023115,11.16798389315571,23.88989822854093,0.15084066277169697
1782421472460309000,52.46,29.465047416998473,-21.856651599373798,38.64848018877955,-90.13514469345662,11.195119440792816,23.89704707228246,0.16184851803122657
1782421472470309000,52.47,29.66277727827635,-21.769027547515204,38.64848097680159,-90.13514241656831,11.222254988429919,23.903879201516972,0.19895026982136213
1782421472480309000,52.480000000000004,29.860513371007137,-21.681373176771288,38.64848176509628,-90.13514013960825,11.249390536067043,23.910395133181026,0.34459328437815845
1782421472490309000,52.49,30.05825204565032,-21.59369140568714,38.64848255363739,-90.13513786261846,11.276526083704148,23.916595344448677,0.4964017667901142
1782421472500309000,52.5,30.255989652665807,-21.505985152807668,38.64848334239867,-90.13513558564097,11.303661631341253,23.92248027285241,0.5538484525204175
1782421472510309000,52.51,30.45372254251336,-21.418257336677836,38.648484131353875,-90.13513330871778,11.330797178978356,23.92805031637417,0.5887758843037648
1782421472520309000,52.52,30.651447065652874,-21.330510875842545,38.648484920476754,-90.13513103189095,11.35793272661548,23.933305833523054,0.5930105386380381
1782421472530309000,52.53,30.849159572543865,-21.242748688846888,38.64848570974107,-90.13512875520249,11.385068274252585,23.93824714341289,0.3774902230980647
1782421472540309000,52.54,31.0468564136462,-21.154973694235764,38.64848649912056,-90.13512647869442,11.41220382188969,23.942874525825065,0.1588087993191563
1782421472550309000,52.550000000000004,31.244533939419817,-21.067188810554082,38.64848728858898,-90.13512420240876,11.439339369526813,23.94718822124884,-0.18981328126155586
1782421472560309000,52.56,31.442188500324185,-20.979396956346925,38.648488078120096,-90.13512192638755,11.466474917163918,23.951188430924024,-0.45899150332723515
1782421472570309000,52.57,31.63981644681921,-20.8916010501592,38.648488867687654,-90.13511965067282,11.493610464801023,23.954875316855446,-0.5220448911095686
1782421472580309000,52.58,31.837414129364664,-20.80380401053587,38.648489657265394,-90.13511737530656,11.520746012438128,23.958249001838837,-0.3347118918681681
1782421472590309000,52.59,32.03497789842044,-20.716008756021832,38.64849044682709,-90.13511510033084,11.54788156007525,23.961309569443983,-0.020081600411270977
1782421472600309000,52.6,32.23250410444605,-20.628218205162185,38.64849123634648,-90.13511282578766,11.575017107712355,23.964057064012486,0.2887649463550404
1782421472610309000,52.61,32.42998909790137,-20.54043527650184,38.648492025797324,-90.13511055171904,11.60215265534946,23.966491490640067,0.48551508357149004
1782421472620309000,52.620000000000005,32.62742922924633,-20.45266288858567,38.648492815153375,-90.13510827816702,11.629288202986583,23.96861281512128,0.4673661305736003
1782421472630309000,52.63,32.82482084894041,-20.36490395995879,38.64849360438838,-90.13510600517361,11.656423750623688,23.970420963915885,0.36009006372477603
1782421472640309000,52.64,33.02216030744351,-20.277161409166105,38.6484943934761,-90.13510373278086,11.683559298260793,23.971915824087265,0.3321797524919277
1782421472650309000,52.65,33.21944395521538,-20.189438154752562,38.64849518239028,-90.13510146103077,11.710694845897898,23.97309724321996,0.28261470708658704
1782421472660309000,52.660000000000004,33.416668142715956,-20.101737115263077,38.64849597110467,-90.13509918996537,11.73783039353502,23.973965029343816,0.341036125652479
1782421472670309000,52.67,33.61382922040471,-20.014061209242733,38.64849675959304,-90.13509691962669,11.764965941172125,23.974518950836384,0.3918971208200247
1782421472680309000,52.68,33.81092353874155,-19.926413355236434,38.64849754782913,-90.13509465005676,11.79210148880923,23.974758736307372,0.4538032185470781
1782421472690309000,52.69,34.007947448186236,-19.83879647178915,38.64849833578669,-90.1350923812976,11.819237036446335,23.974684074481807,0.4992636377773171
1782421472700309000,52.7,34.20489729919868,-19.751213477445777,38.648499123439485,-90.13509011339123,11.846372584083458,23.974294614062664,0.3930677445597942
1782421472710309000,52.71,34.40176944223836,-19.66366729075141,38.64849991076125,-90.13508784637968,11.873508131720563,23.973589963584796,0.18336634949489988
1782421472720309000,52.72,34.5985602277652,-19.576160830250952,38.64850069772576,-90.13508558030496,11.900643679357668,23.97256969125644,-0.18288074529914328
1782421472730309000,52.730000000000004,34.79526600623909,-19.488697014489297,38.648501484306756,-90.13508331520912,11.927779226994792,23.971233324782474,-0.37840889954660256
1782421472740309000,52.74,34.99188312811952,-19.40127876201155,38.648502270477984,-90.13508105113418,11.954914774631895,23.969580351182994,-0.4245363533498857
1782421472750309000,52.75,35.18840794386639,-19.3139089913626,38.64850305621321,-90.13507878812214,11.982050322269,23.967610216592,-0.31272214455784214
1782421472760309000,52.76,35.38483680393947,-19.22659062108742,38.64850384148618,-90.13507652621506,12.009185869906105,23.96532232604557,-0.023799428732927414
1782421472770309000,52.77,35.58116605879868,-19.139326569730912,38.64850462627065,-90.13507426545495,12.03632141754323,23.962716043262937,0.23720557912254514
1782421472780309000,52.78,35.77739205890348,-19.052119755838156,38.648505410540366,-90.13507200588383,12.063456965180333,23.95979069039497,0.42080216267738485
1782421472790309000,52.79,35.9735111547138,-18.96497309795407,38.64850619426909,-90.13506974754372,12.090592512817437,23.95654554778395,0.48824478468227583
1782421472800309000,52.800000000000004,36.16951969668952,-18.877889514623547,38.64850697743057,-90.13506749047666,12.117728060454562,23.952979853695286,0.40276715894799586
1782421472810309000,52.81,36.36541403529016,-18.790871924391677,38.64850775999856,-90.13506523472466,12.144863608091667,23.949092804032613,0.22784037660469644
1782421472820309000,52.82,36.56119052097558,-18.703923245803367,38.64850854194681,-90.13506298032976,12.17199915572877,23.9448835520506,0.15046635777105713
1782421472830309000,52.83,36.75684550420558,-18.617046397403577,38.64850932324908,-90.135060727334,12.199134703365875,23.940351208038155,0.1958275795988199
